Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,30pF,C_0603_1608Metric,167.0,-86.4,0.0,top
C10,0.1u,C_0402_1005Metric,175.5,-99.2,-90.0,top
C11,0.1u,C_0402_1005Metric,176.9,-99.2,-90.0,top
C12,0.1u,C_0402_1005Metric,179.25,-92.6,90.0,top
C13,0.1u,C_0402_1005Metric,173.7,-100.3,-90.0,top
C14,0.1u,C_0402_1005Metric,170.1,-100.3,-90.0,top
C15,0.1u,C_0402_1005Metric,165.25,-95.75,180.0,top
C16,0.1u,C_0402_1005Metric,173.1,-89.6,90.0,top
C18,0.1u,C_0402_1005Metric,170.1,-89.6,90.0,top
C2,30pF,C_0603_1608Metric,165.375,-92.275,-90.0,top
C3,0.1u,C_0402_1005Metric,173.9,-87.7,90.0,top
C4,4.7u,C_0603_1608Metric,179.0,-84.25,90.0,top
C5,10u,C_0603_1608Metric,170.745616,-87.1,0.0,top
C6,0.1u,C_0402_1005Metric,165.25,-97.75,180.0,top
C7,0.1u,C_0402_1005Metric,178.25,-92.6,90.0,top
C8,1u,C_0402_1005Metric,177.9,-99.2,-90.0,top
C9,1u,C_0402_1005Metric,180.25,-92.6,-90.0,top
D1,PSRV05-4MR6T1G,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,181.55,-95.5,90.0,top
F1,SMD0805B050TF,F0805,180.9,-84.3,-90.0,top
H1,MountingHole,MountingHole_3.2mm_M3,166.109084,-78.445457,0.0,top
H1,MountingHole,MountingHole_3.2mm_M3,165.890915,-111.463638,0.0,top
H1,MountingHole,MountingHole_3.2mm_M3,187.5,-78.5,0.0,top
H2,MountingHole,MountingHole_3.2mm_M3,187.5,-111.5,0.0,top
J1,SFP+,SFP20P,152.2,-82.2375,-90.0,top
L1,2.2u 3A,CMLW4030S2R2MST,170.75,-84.25,180.0,top
R1,5.1k,R_0402_1005Metric,183.0,-88.2,180.0,top
R17,10k,R_0402_1005Metric,166.25,-84.7,90.0,top
R18,10k,R_0402_1005Metric,165.25,-84.7,90.0,top
R19,10k,R_0402_1005Metric,166.5,-103.0,-90.0,top
R2,5.1k,R_0402_1005Metric,183.0,-89.25,180.0,top
R20,10k,R_0402_1005Metric,167.5,-103.0,-90.0,top
R3,33,R_0402_1005Metric,178.6,-97.3,180.0,top
R4,33,R_0402_1005Metric,178.6,-96.3,180.0,top
R5,68k,R_0603_1608Metric,170.75,-81.25,180.0,top
R6,15k,R_0603_1608Metric,174.0,-81.25,180.0,top
R7,1k,R_0402_1005Metric,182.6,-107.2,-90.0,top
R8,1k,R_0402_1005Metric,174.3,-89.6,90.0,top
SW1,USB_BOOT,SW_SPST_PTS810,179.150984,-107.7,0.0,top
SW2,RESET,SW_SPST_PTS810,173.3,-107.7,0.0,top
U1,RP2040,LQFN-56_L7.0-W7.0-P0.4-EP,171.1,-95.0,-90.0,top
U2,W25Q16JVUXIQ,USON-8_L3.0-W2.0-P0.50-BL-EP,176.05,-88.81,0.0,top
U3,TLV62569DBV,SOT-23-5,176.0,-84.25,270.0,top
U4,QSFP28 38PIN 49091-01M311,CONN-SMD_38P-P0.80_TE_1551920-2,156.1125,-104.495,-90.0,top
USB1,HC-TYPE-C-16P-01A-O,USB-C-SMD_G-SWITCH_GT-USB-7010EN,186.7925,-95.0,90.0,top
X1,SMD-3225_4P12M20PF10PPM,CRYSTAL-SMD_4P-L3.2-W2.5-BL,166.5,-89.0,180.0,top
